Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 133.0.6943.127,,,22-02-2025 20:32:50,22-02-2025 20:33:25,34.583s,PASSED
,,,,,,,
Test Cases/RecordManualandScript,Chrome 133.0.6943.127,,,22-02-2025 20:32:50,22-02-2025 20:33:08,17.596s,PASSED
"openBrowser(""http://elogmanager.westindia.cloudapp.azure.com:8880/"")",Chrome 133.0.6943.127,,,22-02-2025 20:32:51,22-02-2025 20:32:59,8.263s,PASSED
maximizeWindow(),Chrome 133.0.6943.127,,,22-02-2025 20:32:59,22-02-2025 20:33:00,0.321s,PASSED
"setText(findTestObject(""Object Repository/Manual and Script mode/Page_Sign In/input_SIGN IN_UserData.UserID""), ""UF001"")",Chrome 133.0.6943.127,,,22-02-2025 20:33:00,22-02-2025 20:33:01,1.118s,PASSED
"setText(findTestObject(""Manual and Script mode/Page_Sign In/input_SIGN IN_UserData.Password""), ""syn12345"")",Chrome 133.0.6943.127,,,22-02-2025 20:33:01,22-02-2025 20:33:02,0.962s,PASSED
"selectOptionByValue(findTestObject(""Manual and Script mode/Page_Sign In/select_Choose.                                                    Admin                                                    Analyst                                                    Reviewer""), ""1"", false)",Chrome 133.0.6943.127,,,22-02-2025 20:33:02,22-02-2025 20:33:03,0.979s,PASSED
"click(findTestObject(""Object Repository/Manual and Script mode/Page_Sign In/button_SIGN IN""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:03,22-02-2025 20:33:03,0.850s,PASSED
"click(findTestObject(""Manual and Script mode/Page_eLabManager  Home/img""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:03,22-02-2025 20:33:06,2.991s,PASSED
"click(findTestObject(""Manual and Script mode/Page_Electrode Inward/a_Hi Welcome Umar Farook""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:06,22-02-2025 20:33:07,0.724s,PASSED
"click(findTestObject(""Manual and Script mode/Page_Electrode Inward/a_Sign Out""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:07,22-02-2025 20:33:08,0.871s,PASSED
,,,,,,,
Test Cases/RecordWeb,Chrome 133.0.6943.127,,,22-02-2025 20:33:08,22-02-2025 20:33:25,16.432s,PASSED
"openBrowser("""")",Chrome 133.0.6943.127,,,22-02-2025 20:33:08,22-02-2025 20:33:11,2.826s,PASSED
maximizeWindow(),Chrome 133.0.6943.127,,,22-02-2025 20:33:11,22-02-2025 20:33:11,0.123s,PASSED
"navigateToUrl(""http://elogmanager.westindia.cloudapp.azure.com:8880/"")",Chrome 133.0.6943.127,,,22-02-2025 20:33:11,22-02-2025 20:33:15,4.042s,PASSED
"setText(findTestObject(""Object Repository/Recordweb/Page_Sign In/input_SIGN IN_UserData.UserID""), ""UF001"")",Chrome 133.0.6943.127,,,22-02-2025 20:33:15,22-02-2025 20:33:16,0.998s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Recordweb/Page_Sign In/input_SIGN IN_UserData.Password""), ""HpiwpJB8dPxMYvKg5xSEwQ=="")",Chrome 133.0.6943.127,,,22-02-2025 20:33:16,22-02-2025 20:33:17,0.610s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Recordweb/Page_Sign In/select_Choose.                             _04f351""), ""1"", true)",Chrome 133.0.6943.127,,,22-02-2025 20:33:17,22-02-2025 20:33:18,1.447s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_Sign In/button_SIGN IN""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:18,22-02-2025 20:33:19,0.886s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_eLabManager  Home/img""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:19,22-02-2025 20:33:23,3.242s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_Add New User/a_Hi Welcome Umar Farook""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:23,22-02-2025 20:33:23,0.687s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_Add New User/a_Sign Out""))",Chrome 133.0.6943.127,,,22-02-2025 20:33:23,22-02-2025 20:33:24,0.718s,PASSED
closeBrowser(),Chrome 133.0.6943.127,,,22-02-2025 20:33:24,22-02-2025 20:33:25,0.482s,PASSED
