Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 133.0.6943.127,,,22-02-2025 20:30:47,22-02-2025 20:31:26,39.902s,PASSED
,,,,,,,
Test Cases/RecordManualandScript,Chrome 133.0.6943.127,,,22-02-2025 20:30:47,22-02-2025 20:31:05,17.932s,PASSED
"openBrowser(""http://elogmanager.westindia.cloudapp.azure.com:8880/"")",Chrome 133.0.6943.127,,,22-02-2025 20:30:47,22-02-2025 20:30:57,9.234s,PASSED
maximizeWindow(),Chrome 133.0.6943.127,,,22-02-2025 20:30:57,22-02-2025 20:30:57,0.256s,PASSED
"setText(findTestObject(""Object Repository/Manual and Script mode/Page_Sign In/input_SIGN IN_UserData.UserID""), ""UF001"")",Chrome 133.0.6943.127,,,22-02-2025 20:30:57,22-02-2025 20:30:58,1.071s,PASSED
"setText(findTestObject(""Manual and Script mode/Page_Sign In/input_SIGN IN_UserData.Password""), ""syn12345"")",Chrome 133.0.6943.127,,,22-02-2025 20:30:58,22-02-2025 20:30:59,0.954s,PASSED
"selectOptionByValue(findTestObject(""Manual and Script mode/Page_Sign In/select_Choose.                                                    Admin                                                    Analyst                                                    Reviewer""), ""1"", false)",Chrome 133.0.6943.127,,,22-02-2025 20:30:59,22-02-2025 20:31:00,1.058s,PASSED
"click(findTestObject(""Object Repository/Manual and Script mode/Page_Sign In/button_SIGN IN""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:00,22-02-2025 20:31:01,0.731s,PASSED
"click(findTestObject(""Manual and Script mode/Page_eLabManager  Home/img""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:01,22-02-2025 20:31:03,2.541s,PASSED
"click(findTestObject(""Manual and Script mode/Page_Electrode Inward/a_Hi Welcome Umar Farook""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:03,22-02-2025 20:31:04,0.812s,PASSED
"click(findTestObject(""Manual and Script mode/Page_Electrode Inward/a_Sign Out""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:04,22-02-2025 20:31:05,0.811s,PASSED
,,,,,,,
Test Cases/RecordWeb,Chrome 133.0.6943.127,,,22-02-2025 20:31:05,22-02-2025 20:31:26,21.506s,PASSED
"openBrowser("""")",Chrome 133.0.6943.127,,,22-02-2025 20:31:05,22-02-2025 20:31:10,4.437s,PASSED
maximizeWindow(),Chrome 133.0.6943.127,,,22-02-2025 20:31:10,22-02-2025 20:31:10,0.097s,PASSED
"navigateToUrl(""http://elogmanager.westindia.cloudapp.azure.com:8880/"")",Chrome 133.0.6943.127,,,22-02-2025 20:31:10,22-02-2025 20:31:17,6.951s,PASSED
"setText(findTestObject(""Object Repository/Recordweb/Page_Sign In/input_SIGN IN_UserData.UserID""), ""UF001"")",Chrome 133.0.6943.127,,,22-02-2025 20:31:17,22-02-2025 20:31:18,0.823s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Recordweb/Page_Sign In/input_SIGN IN_UserData.Password""), ""HpiwpJB8dPxMYvKg5xSEwQ=="")",Chrome 133.0.6943.127,,,22-02-2025 20:31:18,22-02-2025 20:31:18,0.790s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Recordweb/Page_Sign In/select_Choose.                             _04f351""), ""1"", true)",Chrome 133.0.6943.127,,,22-02-2025 20:31:18,22-02-2025 20:31:20,1.748s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_Sign In/button_SIGN IN""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:20,22-02-2025 20:31:21,0.719s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_eLabManager  Home/img""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:21,22-02-2025 20:31:24,3.379s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_Add New User/a_Hi Welcome Umar Farook""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:24,22-02-2025 20:31:25,0.709s,PASSED
"click(findTestObject(""Object Repository/Recordweb/Page_Add New User/a_Sign Out""))",Chrome 133.0.6943.127,,,22-02-2025 20:31:25,22-02-2025 20:31:26,1.083s,PASSED
closeBrowser(),Chrome 133.0.6943.127,,,22-02-2025 20:31:26,22-02-2025 20:31:26,0.344s,PASSED
